email,group_name
jon.toña@ejemplo.com,Grupo 1
oier.quesada@ejemplo.com,Grupo 1
santi.tobias@ejemplo.com,Grupo 1
aitor.garcía@ejemplo.com,Grupo 1
david.gancedo@ejemplo.com,Grupo 1
itzel.reguero@ejemplo.com,Grupo 1
cesar.berganzo@ejemplo.com,Grupo 1
eneko.izquierdo@ejemplo.com,Grupo 1
bikendi.otálora@ejemplo.com,Grupo 2
iñigo.alonso@ejemplo.com,Grupo 2
alexander.egido@ejemplo.com,Grupo 2
javier.pacheco@ejemplo.com,Grupo 2
javier.guinea@ejemplo.com,Grupo 2
gari.suárez@ejemplo.com,Grupo 2
javier.crespo@ejemplo.com,Grupo 2
ruben.garcía@ejemplo.com,Grupo 2
eneko.uriarte@ejemplo.com,Grupo 3
enrique.oquiñena@ejemplo.com,Grupo 3
jon.barrena@ejemplo.com,Grupo 3
sergio.barquín@ejemplo.com,Grupo 3
asier.renobales@ejemplo.com,Grupo 3
vicente.avila@ejemplo.com,Grupo 3
aritz.ruiz@ejemplo.com,Grupo 3
alberto.garcía@ejemplo.com,Grupo 3
luis.rodríguez@ejemplo.com,Grupo 4
sergio.basconcillos@ejemplo.com,Grupo 4
yeray.olgado@ejemplo.com,Grupo 4
javier.uribe@ejemplo.com,Grupo 4
urtzi.diaz@ejemplo.com,Grupo 4
iker.estibariz@ejemplo.com,Grupo 4
antonio.perez@ejemplo.com,Grupo 4
miguel.ricarte@ejemplo.com,Grupo 4
iñigo.ullibarri@ejemplo.com,Grupo 5
fernando.alonso@ejemplo.com,Grupo 5
javier.fuente@ejemplo.com,Grupo 5
víctor.cirre@ejemplo.com,Grupo 5
patxi.minguez@ejemplo.com,Grupo 5
jon.calleja@ejemplo.com,Grupo 5
josé.gil@ejemplo.com,Grupo 5
enekoitz.arregi@ejemplo.com,Grupo 5
ander.leyún@ejemplo.com,Grupo 6
alberto.garcía2@ejemplo.com,Grupo 6
gorka.ramirez@ejemplo.com,Grupo 6
axier.plaza@ejemplo.com,Grupo 6
jon.errasti@ejemplo.com,Grupo 6
aitor.fuente@ejemplo.com,Grupo 6
ahmad.hamam@ejemplo.com,Grupo 6
roberto.mediavilla@ejemplo.com,Grupo 6
mikel.fernandez@ejemplo.com,Grupo 7
asier.etxenike@ejemplo.com,Grupo 7
ricardo.alvarez@ejemplo.com,Grupo 7
chesco.angulo@ejemplo.com,Grupo 7
asier.usunaga@ejemplo.com,Grupo 7
markel.santamaría@ejemplo.com,Grupo 7
asier.barrieta@ejemplo.com,Grupo 7
julen.arejolaleiba@ejemplo.com,Grupo 7
josu.jauregui@ejemplo.com,Grupo 8
felix.martín@ejemplo.com,Grupo 8
íñigo.hernández@ejemplo.com,Grupo 8
david.arias@ejemplo.com,Grupo 8
cristian.chaves@ejemplo.com,Grupo 8
aitor.alonso@ejemplo.com,Grupo 8
damián.escobero@ejemplo.com,Grupo 8
jon.narváez@ejemplo.com,Grupo 8
iñigo.viana@ejemplo.com,Grupo 8
guillermo.fortan@ejemplo.com,Grupo 8
juan.lopez@ejemplo.com,Grupo 8
enrique.estibariz@ejemplo.com,Grupo 8
simon.garcía@ejemplo.com,Grupo 8
iñaki.hualde@ejemplo.com,Grupo 8
xabi.fndz@ejemplo.com,Grupo 8
aitor.longarte@ejemplo.com,Grupo 8
mikel.riaño@ejemplo.com,Grupo 8
